player,team,ORtg,Min_per,Usage
A.J. Hoggard,Vanderbilt,95.0516129032258,26.135483870967743,0.25183870967741934
A.J. Lopez,Maine,106.859375,31.65,0.22334374999999998
A.J. Staton-McCray,Miami FL,100.68387096774192,21.83225806451613,0.17993548387096775
A.J. Wills,Wyoming,78.32758620689656,18.593103448275862,0.16013793103448276
AC Bryant,Alabama A&M,112.83928571428571,25.235714285714288,0.24103571428571427
AD Diedhiou,Louisiana Monroe,109.07666666666667,18.326666666666664,0.09753333333333332
AJ Allenspach,Army,126.20344827586207,26.324137931034482,0.1977241379310345
AJ Barnes,Southern,80.47241379310344,9.827586206896552,0.20379310344827586
AJ Bates,Louisiana Tech,86.7576923076923,17.68846153846154,0.15915384615384615
AJ Braun,Cal Baptist,97.34827586206896,19.675862068965518,0.2219310344827586
AJ Brown,Ohio,125.15357142857144,27.0,0.2095
AJ Burgin,Idaho St.,89.72962962962963,15.477777777777776,0.19896296296296295
AJ Casey,Saint Louis,0.0,6.6,0.083
AJ Clark,VMI,117.95862068965518,22.2551724137931,0.11517241379310343
AJ Clayton,Ohio,113.48214285714286,28.62857142857143,0.208
AJ Dancler,Le Moyne,101.33214285714287,32.875,0.24525
AJ Economou,Hawaii,26.919999999999998,1.41,0.1973
AJ Ferguson,Murray St.,103.48125,35.575,0.17465624999999999
AJ George,SMU,91.44500000000001,6.62,0.11979999999999999
AJ Hopkins,Tennessee Martin,61.643478260869564,16.534782608695654,0.09869565217391305
AJ LaBeau,Cornell,40.0,1.8199999999999998,0.056400000000000006
AJ Lesburt Jr.,Brown,104.71904761904761,27.523809523809526,0.17880952380952378
AJ Levine,Penn,87.42083333333333,21.34166666666667,0.1648333333333333
AJ Lux,Bellarmine,105.74761904761904,12.828571428571427,0.14738095238095236
AJ McBride,Niagara,0.0,3.9,0.0
AJ McGinnis,Wichita St.,94.4125,14.28125,0.1131875
AJ McKee,Milwaukee,102.72,30.176666666666666,0.18526666666666666
AJ Patterson,Air Force,69.88,5.0200000000000005,0.11339999999999999
AJ Redd,Illinois,42.85,2.007142857142857,0.1457142857142857
AJ Rodriguez,Cornell,42.0,3.3666666666666667,0.24066666666666667
AJ Smith,Charleston,99.45862068965518,25.606896551724137,0.2263448275862069
AJ Smith,James Madison,107.68,24.4,0.17773333333333333
AJ Storr,Kansas,82.33030303030303,15.336363636363638,0.23309090909090907
AJ Swinton,Florida St.,89.08214285714287,10.489285714285714,0.1462857142857143
AK Okereke,Cornell,129.14615384615382,26.057692307692307,0.24899999999999997
Aa'reyon Munir-Jones,Coppin St.,46.574999999999996,7.5625,0.19799999999999998
Aaron Bradshaw,Ohio St.,115.04545454545455,16.886363636363637,0.1613181818181818
Aaron Cooley,Brown,108.85769230769232,29.976923076923075,0.18465384615384617
Aaron Davis,Bryant,80.01818181818182,8.89090909090909,0.16227272727272726
Aaron Franklin,Milwaukee,77.66363636363636,12.854545454545455,0.11618181818181816
Aaron Gray,Indiana St.,113.75,24.462500000000002,0.19374999999999998
Aaron Hunkin-Claytor,Hawaii,97.92857142857143,18.017857142857142,0.1412142857142857
Aaron McBride,Loyola Marymount,143.3967741935484,16.641935483870967,0.10093548387096775
Aaron Nkrumah,Tennessee St.,91.91333333333334,30.046666666666667,0.21739999999999998
Aaron Oh,Georgia St.,0.0,2.2,0.0
Aaron Potter,Texas A&M Corpus Chris,89.99166666666667,10.4,0.13091666666666665
Aaron Powell,Rice,84.47241379310344,6.586206896551724,0.19320689655172413
"Aaron Price, Jr.",Cal Poly,100.01666666666667,10.55,0.17303333333333332
