date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Jordan Gainey,Tennessee,Player Rebounds,BetOnline,3.5,134.0,-175.0
2025-03-22,Jordan Gainey,Tennessee,Player Rebounds,Fliff,3.5,125.0,-195.0
2025-03-22,Kobe Johnson,UCLA,Player Assists,BetOnline,2.5,122.0,-158.0
2025-03-22,Kobe Johnson,UCLA,Player Assists,Fliff,2.5,115.0,-175.0
2025-03-22,Kobe Johnson,UCLA,Player Points,BetOnline,6.5,-121.0,-106.0
2025-03-22,Kobe Johnson,UCLA,Player Points,FanDuel,6.5,-114.0,-114.0
2025-03-22,Kobe Johnson,UCLA,Player Points,Fliff,6.5,-140.0,-110.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,BetOnline,5.5,-126.0,-102.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,FanDuel,5.5,-125.0,-106.0
2025-03-22,Kobe Johnson,UCLA,Player Rebounds,Fliff,5.5,-145.0,-105.0
2025-03-22,Sebastian Mack,UCLA,Player Points,BetOnline,7.5,-111.0,-116.0
2025-03-22,Sebastian Mack,UCLA,Player Points,Fliff,7.5,-120.0,-125.0
2025-03-22,Skyy Clark,UCLA,Player Assists,BetOnline,1.5,-200.0,152.0
2025-03-22,Skyy Clark,UCLA,Player Assists,Fliff,1.5,-205.0,130.0
2025-03-22,Skyy Clark,UCLA,Player Points,BetOnline,8.5,-102.0,-126.0
2025-03-22,Skyy Clark,UCLA,Player Points,FanDuel,7.5,-122.0,-106.0
2025-03-22,Skyy Clark,UCLA,Player Points,Fliff,8.5,-110.0,-140.0
2025-03-22,Skyy Clark,UCLA,Player Rebounds,BetOnline,2.5,-107.0,-120.0
2025-03-22,Skyy Clark,UCLA,Player Rebounds,Fliff,2.5,-115.0,-135.0
2025-03-22,Tyler Bilodeau,UCLA,Player Assists,BetOnline,1.5,171.0,-227.0
2025-03-22,Tyler Bilodeau,UCLA,Player Assists,Fliff,1.5,155.0,-250.0
2025-03-22,Tyler Bilodeau,UCLA,Player Points,BetOnline,11.5,-109.0,-117.0
2025-03-22,Tyler Bilodeau,UCLA,Player Points,Fliff,11.5,-120.0,-130.0
2025-03-22,Tyler Bilodeau,UCLA,Player Rebounds,BetOnline,4.5,-129.0,100.0
2025-03-22,Tyler Bilodeau,UCLA,Player Rebounds,Fliff,4.5,-145.0,-110.0
2025-03-22,Zakai Zeigler,Tennessee,Player Assists,BetOnline,6.5,-126.0,-102.0
2025-03-22,Zakai Zeigler,Tennessee,Player Assists,FanDuel,6.5,-114.0,-114.0
2025-03-22,Zakai Zeigler,Tennessee,Player Assists,Fliff,6.5,-145.0,-105.0
2025-03-22,Zakai Zeigler,Tennessee,Player Points,BetOnline,12.5,-114.0,-112.0
2025-03-22,Zakai Zeigler,Tennessee,Player Points,FanDuel,12.5,-114.0,-114.0
2025-03-22,Zakai Zeigler,Tennessee,Player Points,Fliff,12.5,-130.0,-120.0
2025-03-22,Zakai Zeigler,Tennessee,Player Rebounds,BetOnline,3.5,129.0,-169.0
2025-03-22,Zakai Zeigler,Tennessee,Player Rebounds,Fliff,3.5,120.0,-190.0
2025-03-22,Carter Gilmore,Wisconsin,Player Assists,BetOnline,1.5,152.0,-200.0
2025-03-22,Carter Gilmore,Wisconsin,Player Assists,Fliff,1.5,140.0,-225.0
2025-03-22,Carter Gilmore,Wisconsin,Player Rebounds,BetOnline,2.5,-116.0,-111.0
2025-03-22,Carter Gilmore,Wisconsin,Player Rebounds,Fliff,2.5,-120.0,-130.0
2025-03-22,Egor Demin,BYU,Player Assists,BetOnline,3.5,-138.0,106.0
2025-03-22,Egor Demin,BYU,Player Assists,FanDuel,3.5,-120.0,-112.0
2025-03-22,Egor Demin,BYU,Player Assists,Fliff,3.5,-165.0,105.0
2025-03-22,Egor Demin,BYU,Player Points,BetOnline,9.5,112.0,-144.0
2025-03-22,Egor Demin,BYU,Player Points,FanDuel,8.5,-120.0,-110.0
2025-03-22,Egor Demin,BYU,Player Points,Fliff,9.5,105.0,-160.0
2025-03-22,Egor Demin,BYU,Player Rebounds,BetOnline,3.5,-101.0,-128.0
2025-03-22,Egor Demin,BYU,Player Rebounds,FanDuel,3.5,-104.0,
2025-03-22,Egor Demin,BYU,Player Rebounds,Fliff,3.5,-110.0,-145.0
2025-03-22,John Blackwell,Wisconsin,Player Assists,BetOnline,1.5,-172.0,131.0
2025-03-22,John Blackwell,Wisconsin,Player Assists,Fliff,1.5,-185.0,120.0
2025-03-22,John Blackwell,Wisconsin,Player Points,BetOnline,16.5,-108.0,-119.0
2025-03-22,John Blackwell,Wisconsin,Player Points,FanDuel,16.5,-110.0,-120.0
2025-03-22,John Blackwell,Wisconsin,Player Points,Fliff,16.5,-130.0,-120.0
2025-03-22,John Blackwell,Wisconsin,Player Rebounds,BetOnline,4.5,-105.0,-123.0
2025-03-22,John Blackwell,Wisconsin,Player Rebounds,FanDuel,4.5,-118.0,-118.0
2025-03-22,John Blackwell,Wisconsin,Player Rebounds,Fliff,4.5,-110.0,-140.0
2025-03-22,John Tonje,Wisconsin,Player Assists,BetOnline,1.5,-108.0,-119.0
2025-03-22,John Tonje,Wisconsin,Player Assists,Fliff,1.5,-120.0,-130.0
2025-03-22,John Tonje,Wisconsin,Player Points,BetOnline,19.5,-120.0,-107.0
2025-03-22,John Tonje,Wisconsin,Player Points,FanDuel,19.5,-122.0,-105.0
2025-03-22,John Tonje,Wisconsin,Player Points,Fliff,20.5,-130.0,-120.0
2025-03-22,John Tonje,Wisconsin,Player Rebounds,BetOnline,6.5,108.0,-140.0
2025-03-22,John Tonje,Wisconsin,Player Rebounds,FanDuel,6.5,-102.0,-138.0
2025-03-22,John Tonje,Wisconsin,Player Rebounds,Fliff,5.5,-175.0,110.0
2025-03-22,Kamari McGee,Wisconsin,Player Assists,BetOnline,1.5,102.0,-133.0
2025-03-22,Kamari McGee,Wisconsin,Player Assists,Fliff,1.5,-105.0,-145.0
2025-03-22,Kamari McGee,Wisconsin,Player Points,BetOnline,5.5,-111.0,-116.0
2025-03-22,Kamari McGee,Wisconsin,Player Points,Fliff,5.5,-120.0,-130.0
2025-03-22,Kamari McGee,Wisconsin,Player Rebounds,BetOnline,2.5,-112.0,-114.0
2025-03-22,Kamari McGee,Wisconsin,Player Rebounds,Fliff,2.5,-125.0,-125.0
2025-03-22,Keba Keita,BYU,Player Points,BetOnline,7.5,-114.0,-112.0
2025-03-22,Keba Keita,BYU,Player Points,FanDuel,7.5,-120.0,-110.0
2025-03-22,Keba Keita,BYU,Player Points,Fliff,7.5,-125.0,-125.0
2025-03-22,Keba Keita,BYU,Player Rebounds,BetOnline,7.5,-112.0,-114.0
2025-03-22,Keba Keita,BYU,Player Rebounds,Fliff,7.5,-125.0,-125.0
2025-03-22,Max Klesmit,Wisconsin,Player Assists,BetOnline,2.5,127.0,-166.0
2025-03-22,Max Klesmit,Wisconsin,Player Assists,Fliff,2.5,120.0,-185.0
2025-03-22,Max Klesmit,Wisconsin,Player Points,BetOnline,7.5,-109.0,-117.0
2025-03-22,Max Klesmit,Wisconsin,Player Points,FanDuel,7.5,-115.0,-115.0
2025-03-22,Max Klesmit,Wisconsin,Player Points,Fliff,7.5,-115.0,-140.0
2025-03-22,Max Klesmit,Wisconsin,Player Rebounds,BetOnline,1.5,-185.0,142.0
2025-03-22,Max Klesmit,Wisconsin,Player Rebounds,Fliff,1.5,-205.0,130.0
2025-03-22,Nolan Winter,Wisconsin,Player Assists,Fliff,0.5,-185.0,120.0
2025-03-22,Nolan Winter,Wisconsin,Player Points,BetOnline,9.5,118.0,-153.0
2025-03-22,Nolan Winter,Wisconsin,Player Points,Fliff,7.5,-120.0,-130.0
2025-03-22,Nolan Winter,Wisconsin,Player Rebounds,BetOnline,5.5,118.0,-153.0
2025-03-22,Nolan Winter,Wisconsin,Player Rebounds,FanDuel,4.5,-148.0,106.0
2025-03-22,Nolan Winter,Wisconsin,Player Rebounds,Fliff,5.5,115.0,-180.0
2025-03-22,Richie Saunders,BYU,Player Assists,BetOnline,1.5,-102.0,-126.0
2025-03-22,Richie Saunders,BYU,Player Assists,Fliff,1.5,-115.0,-140.0
2025-03-22,Richie Saunders,BYU,Player Points,BetOnline,16.5,-112.0,-114.0
2025-03-22,Richie Saunders,BYU,Player Points,FanDuel,16.5,-105.0,-125.0
2025-03-22,Richie Saunders,BYU,Player Points,Fliff,16.5,-135.0,-115.0
2025-03-22,Richie Saunders,BYU,Player Rebounds,BetOnline,4.5,-105.0,-123.0
2025-03-22,Richie Saunders,BYU,Player Rebounds,FanDuel,4.5,-108.0,-130.0
2025-03-22,Richie Saunders,BYU,Player Rebounds,Fliff,4.5,-115.0,-135.0
2025-03-22,Steven Crowl,Wisconsin,Player Assists,BetOnline,2.5,114.0,-149.0
2025-03-22,Steven Crowl,Wisconsin,Player Assists,Fliff,2.5,110.0,-175.0
2025-03-22,Steven Crowl,Wisconsin,Player Points,BetOnline,10.5,-103.0,-125.0
