player,team,weighted_ast,kalman_ast,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Morgan Safford,Kent St.,0.7579550825393767,0.9311182712633472,65.72188689302916,104.19549592331023,102.4930133741152,73.25036048496266,113.776569173904,100.09207926504816
Will Tschetter,Michigan,0.5633524733223115,0.4658659509980194,68.95457433507453,115.28258091426493,93.58219993300357,69.7062473014844,115.45578743362606,92.71214868416922
Will Sydnor,Manhattan,1.6302520624340546,1.617433076113577,74.15884736804476,106.8979238243412,114.88850306938868,75.19930837960818,105.07161026330492,111.32053842139868
Rashaan Mbemba,Colorado St.,0.7654618931260105,0.2827799950422016,68.24443625812171,116.59451988508884,98.60902577155714,75.18487284737631,118.28055361883936,90.80058766185536
Josh Ojianwuna,Baylor,0.5928711355509333,0.4257872546512516,65.41302637762443,120.7817327505784,98.8421633037986,75.52777982579408,128.02807225716327,90.74103246949451
Connor Essegian,Nebraska,1.097579807657063,1.264152226634728,74.83650031430858,112.02074573434244,98.61901979257252,74.33085876122698,113.30832659818688,100.4498972552953
Carey Booth,Illinois,0.0299094947444216,0.0008119787463939,85.14942019591898,122.80957536621456,97.8581442081308,85.33940124153843,123.132456177121,97.89700197303998
Xavier Booker,Michigan St.,0.1799256488910486,0.0131144899630435,76.96523034530803,117.07415885336424,91.34142517133051,70.77544440416561,111.66126236102215,94.73735146173104
Ryan Curry,Army,3.304461646492035,2.876342353005849,70.10865588255518,99.62404604715852,113.33815865938688,75.73158320613891,105.7400998646362,111.12210078382276
Jamal Sumlin,Kent St.,2.027265628144759,2.4344094477514915,65.72188689302916,104.19549592331023,102.4930133741152,73.25036048496266,113.776569173904,100.09207926504816
Tomislav Ivisic,Illinois,2.380928086011465,2.431504738010432,85.14942019591898,122.80957536621456,97.8581442081308,85.33940124153843,123.132456177121,97.89700197303998
Troy D'Amico,DePaul,1.6780628093484975,2.368146043094076,65.60732220592591,109.21427612082525,103.52997761550476,73.00086008736548,111.6826308977644,94.84530720198758
Tre Donaldson,Michigan,4.270067650782314,5.222873430214465,68.95457433507453,115.28258091426493,93.58219993300357,69.7062473014844,115.45578743362606,92.71214868416922
Fraser Roxburgh,Manhattan,1.0990691106852688,0.7005471116241501,74.15884736804476,106.8979238243412,114.88850306938868,75.19930837960818,105.07161026330492,111.32053842139868
Kymany Houinsou,Loyola Chicago,3.4511055119672363,3.600506476305644,67.07085391584626,106.10231440679064,102.11903517815836,75.06096722362759,112.29055196585186,96.25563222755773
Derik Queen,Maryland,1.8237522197449871,1.4873280378168268,75.18487284737631,118.28055361883936,90.80058766185536,68.24443625812171,116.59451988508884,98.60902577155714
Kendall Hailey,Army,0.5271696666386925,0.3286172060985977,70.10865588255518,99.62404604715852,113.33815865938688,75.73158320613891,105.7400998646362,111.12210078382276
Phat Phat Brooks,Michigan,0.1901954488004089,0.1499467551693811,68.95457433507453,115.28258091426493,93.58219993300357,69.7062473014844,115.45578743362606,92.71214868416922
Camden Heide,Purdue,0.4187698621560855,0.1150442853258957,74.30263831671525,125.14556035575436,99.46798215427594,67.37141551813926,113.74694257412268,99.70941198107916
Pierre Brooks,Butler,1.9094238230015284,1.7224505123193388,77.32277501478106,115.942952258887,104.76479018606366,78.61236496804354,112.54969916673292,99.9868241651276
Masiah Gilyard,Manhattan,1.8165292959236965,2.737364849828088,74.15884736804476,106.8979238243412,114.88850306938868,75.19930837960818,105.07161026330492,111.32053842139868
Chibuzo Agbo,USC,1.1498306689116986,0.7843169393488736,81.1265408438187,116.9983528790262,102.15312855123491,72.4982094279057,108.07949775073315,105.91545486134686
Coen Carr,Michigan St.,0.6750006566138169,0.9727205773892668,76.96523034530803,117.07415885336424,91.34142517133051,70.77544440416561,111.66126236102215,94.73735146173104
Malachi Palmer,Maryland,0.2293580756023719,0.0736290230303003,75.18487284737631,118.28055361883936,90.80058766185536,68.24443625812171,116.59451988508884,98.60902577155714
Anthony Batson Jr.,Stanford,0.2136861729771766,0.0605541713664597,73.25036048496266,113.776569173904,100.09207926504816,65.72188689302916,104.19549592331023,102.4930133741152
Johnny Kinziger,Illinois St.,2.8179287680285525,2.0909437716548256,75.0938500039974,112.06086964241904,108.3855877499289,67.91762583456321,102.80106301807272,110.25402037813627
Dillon Mitchell,Cincinnati,1.6519449676353928,2.4918050328078967,73.00086008736548,111.6826308977644,94.84530720198758,65.60732220592591,109.21427612082525,103.52997761550476
Adama Bal,Santa Clara,3.124008870140236,2.885314694561889,88.99328797816197,118.00136596980406,97.93738798093284,76.91869476132275,114.56240755905613,110.40764779615402
Tony Toney,UAB,1.8243166538487083,1.4899894912086564,76.91869476132275,114.56240755905613,110.40764779615402,88.99328797816197,118.00136596980406,97.93738798093284
Isaac Gard,Wisconsin,0.0666856086888716,0.0223865591090473,76.9872764943552,122.58497434860324,95.47609398866098,76.58907854679288,126.05602634787633,98.68999509123675
Ty Pence,Illinois St.,1.2483036621519752,1.066230221667106,75.0938500039974,112.06086964241904,108.3855877499289,67.91762583456321,102.80106301807272,110.25402037813627
Zed Key,Dayton,0.3190114103744496,0.3290072515041146,78.29418017603744,113.4451614802412,105.63618999254946,76.74483200351185,115.20671998715976,109.5001726800296
Rafael Castro,George Washington,1.944316767454034,2.3156405227092085,67.06175862162564,107.32239837719852,102.57062425741542,74.07991233485181,114.7994665691354,99.03393774333983
Jaylen Peterson,Presbyterian,0.7635977515158494,0.3500738824829537,67.91762583456321,102.80106301807272,110.25402037813627,75.0938500039974,112.06086964241904,108.3855877499289
