player,team,weighted_pts,kalman_pts,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Cedric Coward,Washington St.,17.76946852528462,19.32193170118188,77.76909355466613,112.6576193656126,106.62109498588178,78.84901165848603,107.02833347960396,99.87002005040382
Cade Phillips,Tennessee,4.374314251884864,4.147288391470273,74.65292351285737,119.27533023154004,91.06953794397936,57.917155947701794,111.42296171889058,109.65711006981252
Giovanni Emejuru,George Mason,5.251216990967356,2.682455872039993,77.10897962797242,107.02567656567749,93.90871593802544,67.38161744179946,108.94934436006972,109.41222969765748
Tafara Gapare,Maryland,2.899062573963169,1.1158900546095714,81.78532504705217,117.8006508029591,92.0001223929238,69.7226676010178,108.53639289307768,99.43001125923556
JJ Traynor,DePaul,5.518312147951367,7.043068682346864,65.70701296662813,109.25469795933682,104.0404620369917,72.99037267739298,111.55548706851484,95.33247646460744
Dilen Miller,Robert Morris,2.142589374752912,2.456988678580113,72.29726062538877,105.87178226864891,104.97346357173288,94.97085467346454,127.61322067865144,96.32221651819388
Augustas Marciulionis,Saint Mary's,14.40791089060091,14.861495677711003,69.8800680514906,114.9327006189022,92.75301462007953,66.13162182917932,118.61621582443104,101.1515710764358
Cameron Carr,Tennessee,4.8506942020650445,4.7270560190703215,74.65292351285737,119.27533023154004,91.06953794397936,57.917155947701794,111.42296171889058,109.65711006981252
Kaden Metheny,Liberty,13.717606550088504,16.69167432855568,67.9679731717988,113.03729698303373,97.95669328167683,69.75458133775491,115.11625343624422,97.20320435235934
Darius Hannah,Bradley,12.96495655728104,16.058421600718344,76.22776085234848,112.50716882508912,102.80155830321246,71.38174654759464,110.50850723391125,108.02800254470344
Bradley Ezewiro,UAB,7.008783219747465,4.682674518834853,77.78735960941161,115.66538668972716,111.55913958705322,84.0235195286263,112.03208493032416,99.83953201028194
Jeremiah Fears,Oklahoma,17.514241832455106,23.11829544472816,73.23614860536948,117.61517079592087,100.84014337131046,74.82975994385116,121.54705036778576,101.991899517453
Kerrington Kiel,Troy,0.9036127007420196,0.1172603309927272,69.01351359626945,106.69012109637856,100.56798187283673,81.6295298837936,123.7953708388456,98.6567433788276
Rueben Chinyelu,Florida,6.331012715793824,6.66423467880293,89.7508993593995,127.67532166290204,93.99029320497156,64.34234135445972,106.16745252447542,109.02080616056568
Terrence Edwards Jr.,Louisville,18.100051028333716,23.7101718312904,75.03858713710342,118.19803663651209,94.72856463692486,71.80088090609053,117.29923145242525,98.24732544937127
Jaden Winston,Manhattan,8.510255635227416,8.866513778500444,74.28922680660428,107.10007439819177,115.14435744519312,75.12895735677826,105.1390499960433,111.73806203554552
Tobe Awaka,Arizona,8.20333029515314,6.669865207579298,91.9663931696404,123.89916481553794,96.43608743742836,76.32305619709032,113.79005880670368,106.72076428755898
J.P. Estrella,Tennessee,4.723286730120041,4.779661016949152,74.65292351285737,119.27533023154004,91.06953794397936,57.917155947701794,111.42296171889058,109.65711006981252
Jovan Milicevic,New Mexico,3.74516629711654,2.4415018764064014,74.64543105530201,111.72669973542304,94.89621225676308,76.60999495107791,116.6275241016466,96.51854364211178
Caden Boser,Illinois St.,3.8146408560169034,2.018431148695348,74.95280664361626,112.02099866510883,108.77411872025311,68.09442679538951,103.08321145109966,110.48192626248066
Aidan Shaw,Missouri,1.9473313321087748,1.1135834519505583,69.7807176658624,126.98832274830158,100.77946813227815,63.31230729490869,112.51859605745508,98.41920903124044
Jahmyl Telfort,Butler,16.072601476274222,15.486207052895066,77.37237067881064,115.97924242486911,105.24542990101416,78.62751383872683,112.51489510001656,100.42930067070536
Chris Manon,Vanderbilt,7.387673744649533,11.257128522242684,66.13162182917932,118.61621582443104,101.1515710764358,69.8800680514906,114.9327006189022,92.75301462007953
Kymany Houinsou,Loyola Chicago,6.271513771795648,7.342502347193729,70.86443853044804,106.27201405854092,102.40284578861488,70.6482645802506,108.2434778520032,104.63098174940924
Davidson Hubbard,Baylor,0.3432690061196551,0.1894266510797809,73.09310939649329,120.49772569938987,99.25692728127714,72.13765374629563,118.30200538660104,98.73895064850208
Andrej Jakimovski,Colorado,10.465591221353437,14.32581649009351,68.26321911954969,108.4810224281263,98.90056860888797,71.8907534893275,118.56429469319116,102.48298079639724
Jaquan Johnson,Bradley,7.075678157367112,7.116438623464335,76.22776085234848,112.50716882508912,102.80155830321246,71.38174654759464,110.50850723391125,108.02800254470344
Conor Enright,DePaul,7.57904241208466,7.859231187053932,65.70701296662813,109.25469795933682,104.0404620369917,72.99037267739298,111.55548706851484,95.33247646460744
Peyton Marshall,Missouri,1.03133455811448,1.3132679677641623,69.7807176658624,126.98832274830158,100.77946813227815,63.31230729490869,112.51859605745508,98.41920903124044
Sean Hansen,George Washington,5.590693079127688,6.680164315549095,66.96262557313386,107.55665158962717,102.74746159589496,74.26564795076122,115.376175866143,99.07900495705763
Jaiden Glover,St. John's,1.9802880899936377,0.7949094227142941,80.95707286650152,112.5317080421349,89.09607923550938,66.31915281300935,112.13466752069452,108.3775700102496
Tre Donaldson,Michigan,11.067483723189811,9.998150659408225,71.26709038254441,115.08297148209454,94.37703417908648,68.40853601592171,113.4644184384378,96.93791664778516
Matt Cross,SMU,12.409761195471546,12.388999471143611,79.73943658061117,118.21632350506786,99.0410384795639,68.2518596108977,107.14708559621413,104.99862697823151
Enoch Boakye,Villanova,4.094025231283949,5.188747152570384,71.8907534893275,118.56429469319116,102.48298079639724,68.26321911954969,108.4810224281263,98.90056860888797
