player,team,weighted_trb,kalman_trb,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Keaton Kutcher,Illinois,0.2280250022122453,0.1714602384731757,82.73040466390867,122.35133802447947,98.47308735562306,79.38398958990025,116.97484944988013,98.1145809416494
Jared Billups,George Mason,5.822326529948189,4.120536136290888,68.9940245245737,107.72910400407685,94.0416894356526,63.40498697900109,109.70599008744624,104.48408414980472
Nate Kingz,Oregon St.,2.534847951190387,3.0142257548667044,78.90155050144955,116.03347812653024,107.76261899724192,81.55091092198738,115.32429694690023,103.53700118119684
Robert Jennings,Oklahoma St.,3.390258175062082,3.108998149609618,74.70274645588704,106.84823751403611,101.16231343859388,83.90339772811471,117.40862079812,98.67344129955828
Ryan Agarwal,Stanford,4.865730846858343,4.413592673495509,73.27854222098688,113.9541057742834,100.33638752739506,65.89013624903782,104.4601040481285,102.61336558218548
Jorn Everson,Army,0.944640046541817,0.6254557292291472,70.25184517062661,99.93208952485776,113.47116459909844,75.83957500501212,106.00767575585148,111.26102715155366
Jalen Lake,Colorado St.,2.812980663956459,2.3710335675314846,75.05077335778739,116.39094380932474,98.90466935548176,72.1676288327026,111.69126281911043,98.7028157867166
Matt Cross,SMU,7.536512834149704,5.667158959658125,83.90339772811471,117.40862079812,98.67344129955828,74.70274645588704,106.84823751403611,101.16231343859388
Kamari McGee,Wisconsin,2.7606498341952754,4.162760437873003,77.01250665438184,122.45240100972634,95.94623557726416,76.70326180905177,125.93110278425954,99.069750222349
Benny Gealer,Stanford,1.7684334564985091,1.6438628392653016,73.27854222098688,113.9541057742834,100.33638752739506,65.89013624903782,104.4601040481285,102.61336558218548
Nate Bittle,Oregon,7.341380290036138,8.994167414064664,69.97023542271774,115.22975967282684,97.03581487678142,67.96548492369377,113.02570183407131,97.98724086273336
Miles Keeffe,Vanderbilt,0.5036014286065973,0.4830885930499126,66.06476858829814,118.48162994274944,101.28391525047545,70.14680276301164,115.05214501251726,92.62883845359424
Keegan Harvey,George Washington,0.4665910453981103,0.4148607574645959,67.27919742971672,107.54939095074562,102.7308082724712,74.04462084040928,114.864963050029,99.41537917677088
Josiah Harris,Akron,5.179327158619,5.978846971929544,76.40514305580935,113.81518410362747,106.68887608075008,92.05099944522944,123.914782109128,96.41312004139668
Solomon Washington,Texas A&M,5.043192882007923,4.171801640576924,69.90173572111556,115.50471262873972,93.01398730075611,68.94084622858495,115.18058349723498,94.045751730236
Gavin Marrs,Oregon St.,0.3361801503081612,0.3130090017847148,78.90155050144955,116.03347812653024,107.76261899724192,81.55091092198738,115.32429694690023,103.53700118119684
Carson Cooper,Michigan St.,5.217038849437132,6.778551714373746,84.66844524517909,116.91982296062965,91.7071291165965,66.64137023199562,105.65649593428,105.29041057202863
Josiah Lake II,Oregon St.,3.2470544797507315,3.6341268769409143,78.90155050144955,116.03347812653024,107.76261899724192,81.55091092198738,115.32429694690023,103.53700118119684
Bowen Born,Colorado St.,1.199904750583661,1.279986501510463,75.05077335778739,116.39094380932474,98.90466935548176,72.1676288327026,111.69126281911043,98.7028157867166
Luke Murphy,Colorado St.,0.1440633934630953,0.1466093163186309,75.05077335778739,116.39094380932474,98.90466935548176,72.1676288327026,111.69126281911043,98.7028157867166
Nick Sanders,Michigan St.,0.2254506599518591,0.2574865786173453,84.66844524517909,116.91982296062965,91.7071291165965,66.64137023199562,105.65649593428,105.29041057202863
Andrew Morgan,Nebraska,4.280605965816392,4.793626423942942,74.80757623343774,111.90235450410968,99.0869114460142,74.44388469929773,113.27735833000624,100.8080055802028
Jaxon Kohler,Michigan St.,7.564561129329835,6.948206493309732,84.66844524517909,116.91982296062965,91.7071291165965,66.64137023199562,105.65649593428,105.29041057202863
Jordan Williams,Vanderbilt,0.5721110247905277,0.4457054091368873,66.06476858829814,118.48162994274944,101.28391525047545,70.14680276301164,115.05214501251726,92.62883845359424
Jalen Washington,North Carolina,3.9198623908481434,2.723288147769161,78.17908818955715,119.85623620127171,99.75571842568333,78.55415915389612,117.19119550593491,97.07190808733507
Keshawn Williams,Colorado St.,1.53451511090336,0.839828948820326,75.05077335778739,116.39094380932474,98.90466935548176,72.1676288327026,111.69126281911043,98.7028157867166
Jason Edwards,Vanderbilt,1.824453197161008,1.8570264918496484,66.06476858829814,118.48162994274944,101.28391525047545,70.14680276301164,115.05214501251726,92.62883845359424
John Tonje,Wisconsin,5.390133777352892,6.22039179787734,77.01250665438184,122.45240100972634,95.94623557726416,76.70326180905177,125.93110278425954,99.069750222349
Jacob Conner,Dayton,0.9515178764318576,1.0047529263018864,78.29978135709905,113.60125763888576,105.83066106916728,76.87101967063968,115.47315441288777,109.62735728026666
Kobe Stewart,Presbyterian,5.264553548667028,6.025430362264991,68.04233855226768,103.05364075613556,110.44612287124248,75.22608230068455,112.32461702921675,108.5722219323597
Tyrese Proctor,Duke,3.0764394897524,2.544374567887343,85.52284607075907,128.16785047977055,91.24882272478835,56.79389027581281,100.38743810030104,107.62373686926672
Jaylen Murray,Mississippi,2.1572747242552817,2.031951424846765,78.55415915389612,117.19119550593491,97.07190808733507,78.17908818955715,119.85623620127171,99.75571842568333
Tyler Nickel,Vanderbilt,2.3695319098566268,2.5759589700145926,66.06476858829814,118.48162994274944,101.28391525047545,70.14680276301164,115.05214501251726,92.62883845359424
Ty Pence,Illinois St.,3.732904557873507,3.4821481441464472,75.22608230068455,112.32461702921675,108.5722219323597,68.04233855226768,103.05364075613556,110.44612287124248
